,BBCNews_timestamp,BBCNews_tweet_text,BBCNews_cmpd_sntmt,BBCNews_pos_sntmt,BBCNews_neg_sntmt,BBCNews_neu_sntmt,CBSNews_timestamp,CBSNews_tweet_text,CBSNews_cmpd_sntmt,CBSNews_pos_sntmt,CBSNews_neg_sntmt,CBSNews_neu_sntmt,CNN_timestamp,CNN_tweet_text,CNN_cmpd_sntmt,CNN_pos_sntmt,CNN_neg_sntmt,CNN_neu_sntmt,FoxNews_timestamp,FoxNews_tweet_text,FoxNews_cmpd_sntmt,FoxNews_pos_sntmt,FoxNews_neg_sntmt,FoxNews_neu_sntmt,NYT_timestamp,NYT_tweet_text,NYT_cmpd_sntmt,NYT_pos_sntmt,NYT_neg_sntmt,NYT_neu_sntmt
0,01/08/2018 04:08:44,"RT @BBCBreaking: Three Billboards Outside Ebbing, Missouri wins 'Best Motion Picture - Drama'

#GoldenGlobes https://t.co/EYJJHWbjY6 https:…",0.836,0.378,0.0,0.622,01/08/2018 04:35:01,Oprah Winfrey's rousing speech at the Golden Globes stirred more than a standing ovation –– it inflamed rumors that… https://t.co/xGzi4TxT9F,-0.34,0.0,0.118,0.882,01/08/2018 04:44:03,"Oprah Winfrey may have squashed speculation of a potential presidential bid in 2020, but #GoldenGlobes host Seth Me… https://t.co/JSp8DMaWWl",0.0,0.0,0.0,1.0,01/08/2018 04:45:02,"This morning on ""Fox &amp; Friends,"" hosts @PeteHegseth, @LisaMarieBoothe, and @GriffJenkins pointed out the big change… https://t.co/cQWUsaaoH6",0.0,0.0,0.0,1.0,01/08/2018 04:45:02,2018 Golden Globe Red Carpet Pictures. https://t.co/DLZTcC5wjR,0.0,0.0,0.0,1.0
1,01/08/2018 04:03:52,"RT @BBCBreaking: Frances McDormand wins 'Best Actress in a Motion Picture - Drama' for her role in Three Billboards Outside Ebbing, Missour…",0.836,0.305,0.0,0.695,01/08/2018 04:16:24,"""We're here to talk about the extraordinary women, and how brave they are, and in coming forward, and telling their… https://t.co/GcWoY2fX7X",0.5267,0.145,0.0,0.855,01/08/2018 04:30:14,Ripple's recent price spike has made it the second most valuable cryptocurrency after bitcoin. Here's how it works… https://t.co/guOHyzhCQS,0.5256,0.159,0.0,0.841,01/08/2018 04:44:03,.@AlanDersh Blasts Fellow Dems Over Claims Trump Is Mentally Ill https://t.co/HWAh4Y9nmB https://t.co/26usWuaNZQ,-0.4215,0.0,0.203,0.797,01/08/2018 04:20:01,Natalie Portman Presents Best Director: ‘Here Are the All-Male Nominees’. https://t.co/aPlJpd1RPT,0.6369,0.296,0.0,0.704
2,01/08/2018 03:53:58,"RT @BBCBreaking: Gary Oldman wins 'Best Actor in a Motion Picture - Drama' 

#GoldenGlobes https://t.co/068UHmydVC https://t.co/aePg1yXPrl",0.836,0.397,0.0,0.603,01/08/2018 04:11:05,"""Three Billboards Outside Ebbing, Missouri"" wins best motion picture, drama. #GoldenGlobes https://t.co/AYfcFTVUeV https://t.co/98wO92QzC3",0.836,0.418,0.0,0.582,01/08/2018 04:26:19,Oprah Winfrey became the first black woman to receive the Cecil B. DeMille Award at the #GoldenGlobes and accepted… https://t.co/yCc1F0pf5r,0.5423,0.156,0.0,0.844,01/08/2018 04:36:05,".@LawrenceBJones3: ""I don't even believe we should be talking about this DACA issue until we take care of American… https://t.co/t2zpaXcfXL",0.4939,0.144,0.0,0.856,01/08/2018 04:19:01,Stars Will Take Activists to the Golden Globes Red Carpet. https://t.co/iagNWmSye4,0.0,0.0,0.0,1.0
3,01/08/2018 03:46:21,"RT @BBCBreaking: Lady Bird wins 'Best Motion Picture - Comedy/Musical' 

#GoldenGlobes https://t.co/QrKvMydAKS https://t.co/8cBGj7mkcm",0.836,0.441,0.0,0.559,01/08/2018 04:06:07,"""The women in this room tonight are not here for the food... We are here for the work, thank you,"" Frances McDorman… https://t.co/o8PJQsp0ws",0.3612,0.102,0.0,0.898,01/08/2018 04:22:12,Aziz Ansari is the first Asian male actor to win best leading performance in a TV musical or comedy at the… https://t.co/m7iR3aWDmm,0.8885,0.368,0.0,0.632,01/08/2018 04:35:05,"On @MediaBuzzFNC, Anthony @Scaramucci slammed Michael Wolff's book ""Fire and Fury,"" and defended the accomplishment… https://t.co/ogTOr1GBEs",-0.34,0.0,0.138,0.862,01/08/2018 04:18:02,Oprah Winfrey’s Speech: ‘A New Day Is on the Horizon’. https://t.co/nD14HeScyg,0.0,0.0,0.0,1.0
4,01/08/2018 03:38:11,"RT @BBCBreaking: Saoirse Ronan wins 'Best Actress in a Comedy/Musical Motion Picture' for her role in Lady Bird

#GoldenGlobes https://t.co…",0.836,0.317,0.0,0.683,01/08/2018 04:06:00,RT @CBSThisMorning: Monday morning on @CBSThisMorning: We’ll talk to “Fire and Fury: Inside the Trump White House” author Michael Wolff.…,-0.5719,0.0,0.163,0.837,01/08/2018 04:20:03,RT @CNNent: That's a wrap! Thanks for following along with our #GoldenGlobes live blog. https://t.co/Ka6XYBXidk https://t.co/yHeD8tmZsh,0.4926,0.186,0.0,0.814,01/08/2018 04:30:01,"This morning on @foxandfriends, @LisaMarieBoothe discussed @TheDemocrats' recent approach to the issue of illegal i… https://t.co/lqwEsXqqUR",-0.5574,0.0,0.194,0.806,01/08/2018 04:00:02,James Franco and Tommy Wiseau: Winning Best Actor for the Worst Movie. https://t.co/kt3kXQxJAs,0.5423,0.35,0.189,0.461
5,01/08/2018 03:32:59,Ashes: Australia beat England by innings &amp; 123 runs to seal 4-0 series win https://t.co/U4qAbfTJia,0.5859,0.213,0.0,0.787,01/08/2018 04:02:08,"""Words and actions can change the world, and boy oh boy, does it need to change,"" Gary Oldman says as he closed off… https://t.co/i5CQU7Wf9H",0.0,0.0,0.0,1.0,01/08/2018 04:15:07,"JetBlue says it's handing out $21 million worth of bonuses to employees because of the corporate tax cut. All 21,00… https://t.co/DWFUUbMKQ6",0.5267,0.215,0.082,0.703,01/08/2018 04:28:06,".@BillClinton in 1996: ""We are increasing border controls by 50%. We are increasing inspections to prevent the hiri… https://t.co/7NhfaCW4Bm",0.0258,0.058,0.0,0.942,01/08/2018 03:30:02,Sam Rockwell’s Golden Globes Win Fuels a Debate. https://t.co/in1dWD8ZAZ,0.5859,0.352,0.0,0.648
6,01/08/2018 03:06:40,Boots pharmacists raise staffing concerns https://t.co/FX3SOe9dFg,0.0,0.0,0.0,1.0,01/08/2018 04:00:56,"""This is a win for us. We're standing in solidarity and there's something to celebrate about that."" Hollywood's big… https://t.co/wtIpc2Ah54",0.8658,0.377,0.0,0.623,01/08/2018 04:14:43,RT @CNNent: In case you missed tonight's theme at the #GoldenGlobes. https://t.co/WkpndcbYHX https://t.co/EhStbCtQAz,-0.296,0.0,0.155,0.845,01/08/2018 04:22:06,".@gen_jackkeane: ""North Korea's feeling maximum pressure... Economic sanctions are finally starting to take hold."" https://t.co/n3p6ycGRC7",0.128,0.097,0.0,0.903,01/08/2018 03:21:02,"Star Trek: Discovery: ‘Star Trek: Discovery’ Season 1, Episode 10: Mirrors!. https://t.co/Bl1efQbsmt",0.0,0.0,0.0,1.0
7,01/08/2018 02:50:08,"RT @BBCBreaking: Ewan McGregor wins 'Best Actor in a Television Miniseries' for his role in Fargo

#GoldenGlobes https://t.co/Ow1hcEIybA ht…",0.836,0.331,0.0,0.669,01/08/2018 03:56:29,RT @CBSThisMorning: Gary Oldman wins Best Performance by an Actor in a Motion Picture - Drama for his role in @DarkestHour. #GoldenGlobes h…,0.836,0.294,0.0,0.706,01/08/2018 04:10:22,"RT @CNNent: ""Three Billboards Outside Ebbing, Missouri"" wins Best Motion Picture - Drama. #GoldenGlobes @3billboards
https://t.co/GIwbHVLxY…",0.836,0.378,0.0,0.622,01/08/2018 04:19:05,".@dbongino: ""Let me show you in about a minute or less what a hoax this whole thing is, this Russian collusion nons… https://t.co/FNoe5I5ojE",-0.2075,0.0,0.083,0.917,01/08/2018 03:20:01,"At the Golden Globes, Stars and Their Activist Guests Talk About Why They Fight. https://t.co/XRDyoGYbQd",-0.3818,0.0,0.157,0.843
8,01/08/2018 02:11:16,"RT @BBCBreaking: James Franco wins 'Best Actor in a Comedy/Musical Motion Picture'

#GoldenGlobes https://t.co/9ws5IWhSCr https://t.co/bwSj…",0.836,0.397,0.0,0.603,01/08/2018 03:48:01,"""I want all the girls watching to know: A new day is on the horizon."" Oprah's gives stirring Golden Globes speech w… https://t.co/glv2ZA2aVJ",0.0772,0.058,0.0,0.942,01/08/2018 04:02:33,"RT @CNNent: Frances McDormand wins Best Performance by an Actress in a Motion Picture - Drama for @3billboards #GoldenGlobes
https://t.co/Q…",0.836,0.331,0.0,0.669,01/08/2018 04:03:45,Scientologist Elisabeth Moss slammed for 'hypocritical' Golden Globes speech https://t.co/2EePtKzBOq,0.0,0.0,0.0,1.0,01/08/2018 03:19:01,Sterling K. Brown: ‘I Am Being Seen for Who I Am’. https://t.co/QczCIwvaRZ,0.0,0.0,0.0,1.0
9,01/08/2018 00:49:43,Police complaints process overhaul begins on Monday https://t.co/UuarW6nuYq,-0.4019,0.0,0.278,0.722,01/08/2018 03:47:54,"RT @CBSThisMorning: .@LadyBirdMovie wins Best Motion Picture, Musical or Comedy. #GoldenGlobes https://t.co/yLDsgCiRjk",0.886,0.536,0.0,0.464,01/08/2018 04:00:21,Trump's first-year jobs record was strong. Just not as strong as Obama's last year. https://t.co/2G2xhYQzFl https://t.co/GIHktn0wkg,0.765,0.32,0.0,0.68,01/08/2018 04:00:03,Bannon expresses 'regret' for comments attributed to him in 'Fire and Fury' https://t.co/MIZB00ocAI https://t.co/hGbyREuSOD,-0.7269,0.0,0.337,0.663,01/08/2018 02:54:01,Why Everyone is Wearing Black at the Golden Globes. https://t.co/3Ni5VHnBRY,0.0,0.0,0.0,1.0
